iter	Passed	Remaining
400	699	1045
401	701	1043
402	702	1041
403	704	1039
404	706	1037
405	708	1035
406	709	1033
407	711	1032
408	713	1030
409	714	1028
410	716	1026
411	717	1024
412	719	1022
413	721	1020
414	722	1018
415	724	1016
416	726	1015
417	727	1013
418	730	1012
419	731	1010
420	733	1008
421	735	1007
422	737	1006
423	739	1004
424	740	1002
425	753	1015
426	756	1014
427	757	1013
428	759	1010
429	760	1008
430	763	1007
431	764	1005
432	765	1003
433	767	1000
434	769	999
435	770	997
436	772	995
437	774	993
438	776	992
439	778	990
440	779	987
441	780	985
442	782	984
443	784	981
444	785	979
445	786	977
446	788	975
447	789	973
448	791	970
449	792	968
450	793	966
451	795	964
452	796	962
453	798	959
454	799	957
455	801	956
456	803	954
457	804	951
458	806	950
